heuristic_ok,heuristic_residual,heuristic_status,source,target,verified_best_residual,verified_check_ok,verified_map_err,verified_ok,verified_status,verified_tp_err_A,verified_tp_err_Ap
0,0.07719183506900353,"optimal (residual=7.719e-02, threshold=1.000e-06)",5,4,0.07719183506900353,0,0.32659712905009464,0,"multistart_best_only | optimal (residual=7.719e-02, threshold=1.000e-06)",2.394788777030372e-11,7.002050290555972e-12
0,0.313508086492269,"optimal (residual=3.135e-01, threshold=1.000e-06)",5,6,0.2680489184396618,0,0.5361350854144835,0,"multistart_best_only | optimal (residual=2.680e-01, threshold=1.000e-06)",1.2578751791153619e-11,3.9814920492362534e-11
0,0.15472095691443954,"optimal (residual=1.547e-01, threshold=1.000e-06)",5,7,0.07585571349631486,0,0.3274431250955682,0,"multistart_best_only | optimal (residual=7.586e-02, threshold=1.000e-06)",2.26664556855657e-11,1.0148340923333366e-11
0,0.12308791066949226,"optimal (residual=1.231e-01, threshold=1.000e-06)",6,0,0.09619311473992365,0,0.2539337967333922,0,"multistart_best_only | optimal (residual=9.619e-02, threshold=1.000e-06)",4.92183397186893e-13,1.280400654569775e-11
0,0.251391063140489,"optimal (residual=2.514e-01, threshold=1.000e-06)",6,1,0.19237020301211977,0,0.4942623811169826,0,"multistart_best_only | optimal (residual=1.924e-01, threshold=1.000e-06)",5.2142930275924944e-12,1.5687846228500174e-12
0,0.16590586881868227,"optimal (residual=1.659e-01, threshold=1.000e-06)",6,2,0.12674789445915496,0,0.16299975880749934,0,"multistart_best_only | optimal (residual=1.267e-01, threshold=1.000e-06)",3.900995672058587e-13,4.199018359286337e-12
0,0.2167321271292493,"optimal (residual=2.167e-01, threshold=1.000e-06)",6,3,0.21501505525763176,0,0.3359646498700358,0,"multistart_best_only | optimal (residual=2.150e-01, threshold=1.000e-06)",3.927777187685741e-12,3.313187648198634e-11
0,0.13584362703502292,"optimal (residual=1.358e-01, threshold=1.000e-06)",6,4,0.05284074566662997,0,0.2782208518984899,0,"multistart_best_only | optimal (residual=5.284e-02, threshold=1.000e-06)",1.913088165677452e-12,1.2062054481327611e-11
0,0.3288231806212244,"optimal (residual=3.288e-01, threshold=1.000e-06)",6,5,0.31401545748351933,0,0.4816648983735012,0,"multistart_best_only | optimal (residual=3.140e-01, threshold=1.000e-06)",5.330834700169251e-13,7.166953031413671e-12
0,0.1261574145982746,"optimal (residual=1.262e-01, threshold=1.000e-06)",6,7,0.040300252364019566,0,0.2444428579522437,0,"multistart_best_only | optimal (residual=4.030e-02, threshold=1.000e-06)",5.2778428008976506e-12,2.0065186816357682e-10
0,0.15016392535538695,"optimal (residual=1.502e-01, threshold=1.000e-06)",7,0,0.1110640134945298,0,0.15850119471891527,0,"multistart_best_only | optimal (residual=1.111e-01, threshold=1.000e-06)",1.3689973045936116e-11,2.355838811260866e-12
0,0.2783270941004622,"optimal (residual=2.783e-01, threshold=1.000e-06)",7,1,0.2579560101623444,0,0.2901208730738791,0,"multistart_best_only | optimal (residual=2.580e-01, threshold=1.000e-06)",2.172544341856216e-11,1.1477841846583119e-11
0,0.14982490214239083,"optimal (residual=1.498e-01, threshold=1.000e-06)",7,2,0.14982490214239083,0,0.190871977503554,0,"multistart_best_only | optimal (residual=1.498e-01, threshold=1.000e-06)",1.5152451064335627e-11,1.0120079387313287e-12
0,0.26071861950285263,"optimal (residual=2.607e-01, threshold=1.000e-06)",7,3,0.2318435095314146,0,0.26793887288983775,0,"multistart_best_only | optimal (residual=2.318e-01, threshold=1.000e-06)",2.9133997526168484e-12,1.5525982510165774e-10
0,0.1647646253278571,"optimal (residual=1.648e-01, threshold=1.000e-06)",7,4,0.05173615846573758,0,0.13798999479354448,0,"multistart_best_only | optimal (residual=5.174e-02, threshold=1.000e-06)",2.3225978770436998e-12,8.92352820304596e-12
0,0.36592115252965657,"optimal (residual=3.659e-01, threshold=1.000e-06)",7,5,0.35593441203103043,0,0.38625616267113355,0,"multistart_best_only | optimal (residual=3.559e-01, threshold=1.000e-06)",1.8098785575174141e-12,1.7974303547781558e-11
0,0.3302149355898941,"optimal (residual=3.302e-01, threshold=1.000e-06)",7,6,0.31811422837077413,0,0.3724771334063227,0,"multistart_best_only | optimal (residual=3.181e-01, threshold=1.000e-06)",7.296679643360242e-12,1.0755324379568042e-11
